,Gender,Married,Dependents,Education,Self_Employed,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,total_income,LoanRatio
0,Male,Yes,1,Graduate,No,4.852030263919617,360.0,1.0,Rural,N,8.714567550836485,0.5567723510794159
1,Male,Yes,0,Graduate,Yes,4.189654742026425,360.0,1.0,Urban,Y,8.006367567650246,0.5232903319296429
2,Male,Yes,0,Not Graduate,No,4.787491742782046,360.0,1.0,Urban,Y,8.50532301884575,0.5628818249670372
3,Male,No,0,Graduate,No,4.948759890378168,360.0,1.0,Urban,Y,8.699514748210191,0.5688547043840934
4,Male,Yes,2,Graduate,Yes,5.58724865840025,360.0,1.0,Urban,Y,9.170871628065816,0.6092385636825918
5,Male,Yes,0,Not Graduate,No,4.553876891600541,360.0,1.0,Urban,Y,8.255568653283746,0.551612745633117
6,Male,Yes,3+,Graduate,No,5.062595033026967,360.0,0.0,Semiurban,N,8.61974977974133,0.587325057268529
7,Male,Yes,2,Graduate,No,5.123963979403259,360.0,1.0,Urban,Y,8.61830469278465,0.5945443056443693
8,Male,Yes,1,Graduate,No,5.855071922202427,360.0,1.0,Semiurban,N,10.077818939438902,0.5809860206248573
9,Male,Yes,2,Graduate,No,4.248495242049359,360.0,1.0,Urban,Y,8.268731832117737,0.5138025187305247
10,Male,Yes,2,Graduate,No,4.6913478822291435,360.0,1.0,Urban,Y,8.375629627094451,0.5601188317894372
11,Male,Yes,2,Graduate,No,5.298317366548036,360.0,1.0,Urban,Y,9.321792297270326,0.5683796846771116
12,Male,No,0,Graduate,No,4.736198448394496,360.0,1.0,Rural,N,8.453827315794417,0.5602431030908075
13,Male,Yes,2,Graduate,No,2.833213344056216,120.0,1.0,Urban,Y,7.776954403322442,0.3643088537134564
14,Male,No,0,Graduate,No,4.8283137373023015,360.0,1.0,Urban,Y,8.507142855562735,0.5675599692257567
15,Male,No,1,Not Graduate,No,4.605170185988092,240.0,1.0,Urban,Y,8.18757739559151,0.5624582173070733
16,Female,No,0,Graduate,No,4.330733340286331,360.0,0.0,Urban,N,8.163371316459912,0.5305079448676084
17,Male,Yes,0,Not Graduate,No,4.890349128221754,360.0,1.0,Rural,N,8.494333897270154,0.5757189660031351
18,Male,Yes,0,Graduate,No,4.74493212836325,360.0,1.0,Urban,Y,8.716044050161402,0.5443905630875494
19,Male,Yes,0,Not Graduate,No,4.6443908991413725,360.0,0.0,Urban,N,8.943767262734637,0.5192879871206877
20,Male,Yes,1,Graduate,No,5.752572638825633,360.0,1.0,Urban,Y,9.357034751126987,0.6147858581088178
21,Male,Yes,0,Not Graduate,No,4.7535901911063645,360.0,0.0,Semiurban,N,8.414274137408396,0.5649435843755947
22,Unknown,Yes,2,Not Graduate,No,4.718498871295094,360.0,0.0,Rural,N,8.572060092857077,0.5504509791324168
23,Male,Yes,1,Graduate,No,5.017279836814924,360.0,1.0,Semiurban,N,8.801168401936692,0.5700697461613022
24,Male,Yes,0,Graduate,Yes,5.25227342804663,360.0,1.0,Semiurban,Y,9.165343006045447,0.5730580322615573
25,Male,Yes,0,Graduate,No,4.804021044733257,360.0,1.0,Semiurban,Y,8.527539483470381,0.5633537146377662
26,Male,Yes,2,Not Graduate,No,4.700480365792417,360.0,1.0,Urban,Y,8.569026340056254,0.5485431108806182
27,Male,No,0,Not Graduate,No,3.5553480614894135,360.0,1.0,Urban,N,7.273786317844895,0.4887891816077992
28,Female,No,2,Graduate,No,4.787491742782046,360.0,1.0,Semiurban,Y,8.671286726753637,0.5521085732306756
29,Male,Yes,1,Graduate,No,5.303304908059076,360.0,1.0,Urban,N,8.927314111060596,0.5940538040986467
30,Male,No,0,Graduate,No,4.30406509320417,360.0,1.0,Urban,N,8.06054004653864,0.5339673357311119
31,Male,No,1,Graduate,Yes,4.663439094112067,360.0,1.0,Rural,N,8.453614209773367,0.5516503330280421
